segment,dongle,platform,mean_v,max_v,engaged_frac,rlog_url
63c4d8470902a8e7/00000348--e3cbc5fd26--57,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,25.327888692220053,27.04030990600586,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/57/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--158,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,40.336897417704265,40.602149963378906,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/158/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--5,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,21.898852165937424,28.632844924926758,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/5/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--14,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/14/rlog.zst
aebd8f1d4ea16066/00000107--0358d3ddb0--7,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,39.49461842854818,40.283470153808594,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000107--0358d3ddb0/7/rlog.zst
dab4c3d4c55934f5/0000033a--02bc62088c--15,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,27.98726594607035,30.544628143310547,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033a--02bc62088c/15/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--8,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,21.793169101079304,22.35763931274414,1.0,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/8/rlog.zst
059878a793f8f288/000006f6--ad562af28b--8,059878a793f8f288,VOLKSWAGEN_ID4_MK1,33.777269248962405,35.010345458984375,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f6--ad562af28b/8/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--58,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,24.57872418085734,25.84676170349121,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/58/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--157,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,40.11269077936808,40.63238525390625,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/157/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--26,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,20.417095858256022,27.6879940032959,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/26/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--15,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/15/rlog.zst
aebd8f1d4ea16066/00000112--483479fb88--11,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,39.236889847132915,40.35118103027344,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000112--483479fb88/11/rlog.zst
dab4c3d4c55934f5/0000033a--02bc62088c--14,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,24.683479913075765,26.27822494506836,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033a--02bc62088c/14/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--15,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,21.09104494889577,23.04749298095703,1.0,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/15/rlog.zst
059878a793f8f288/000006f7--12e65cb921--10,059878a793f8f288,VOLKSWAGEN_ID4_MK1,33.51382881164551,36.98637008666992,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f7--12e65cb921/10/rlog.zst
63c4d8470902a8e7/0000034a--a856fbe773--63,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,24.324094330469766,26.8245906829834,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/0000034a--a856fbe773/63/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--117,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,37.676518262227376,37.80625534057617,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/117/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--9,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,10.933296614487967,18.71903419494629,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/9/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--16,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/16/rlog.zst
aebd8f1d4ea16066/00000112--483479fb88--9,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,39.214745161126686,40.315460205078125,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000112--483479fb88/9/rlog.zst
dab4c3d4c55934f5/00000337--ba74a366de--5,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,23.18346433957418,24.493371963500977,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/00000337--ba74a366de/5/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--4,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,16.724728545412646,22.95281982421875,0.635,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/4/rlog.zst
059878a793f8f288/00000702--a1330a9fa8--6,059878a793f8f288,VOLKSWAGEN_ID4_MK1,32.69918313662211,34.98432922363281,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/00000702--a1330a9fa8/6/rlog.zst
63c4d8470902a8e7/0000034a--a856fbe773--64,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,24.148338368733725,26.254667282104492,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/0000034a--a856fbe773/64/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--147,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,37.393659890492756,41.07148742675781,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/147/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--10,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,10.197527038057645,18.90013885498047,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/10/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--17,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/17/rlog.zst
aebd8f1d4ea16066/00000152--5715fa86f9--5,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,38.85413383483887,41.662967681884766,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000152--5715fa86f9/5/rlog.zst
dab4c3d4c55934f5/0000033a--02bc62088c--16,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,22.791858010292053,30.550081253051758,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033a--02bc62088c/16/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--3,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,15.933582492669423,19.57465362548828,0.5923460898502496,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/3/rlog.zst
059878a793f8f288/000006f6--ad562af28b--6,059878a793f8f288,VOLKSWAGEN_ID4_MK1,32.410721686681114,37.26678466796875,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f6--ad562af28b/6/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--59,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,24.074866406122844,27.069442749023438,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/59/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--143,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,36.78041118621826,37.85213851928711,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/143/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--14,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,8.712566743691763,14.66452407836914,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/14/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--18,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/18/rlog.zst
